UniqueID,Distillery Name,Brand,Status,Region,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,Confidence,EvidenceStrength,SourceCount,LastVerified,QAStatus,SourceURLs,ResearchNeeded,Notes,SourceFile,EntityClass,ReleaseStatus
DIST-ISL-0001,Ardbeg,Ardbeg,Operating,Islay,Malt,1815,The Ardbeg Distillery Ltd.,LVMH,,,Loch Uigeadail,2,2,4,Traditional,,,,,Steam,2400000,Heavily peated,Yes,Yes,Yes,https://www.ardbeg.com,,,5,,2,2026-07-01,,Official website | SWA,Verify coordinates,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0002,Ardnahoe,Ardnahoe,Operating,Islay,Malt,2018,Hunter Laing,Hunter Laing,,,Loch Ardnahoe,2,2,4,Traditional,,,,,Steam,500000,Heavily peated,Yes,Yes,Yes,https://ardnahoedistillery.com,,,4,,2,2026-07-01,,Official website | SWA,Verify capacity,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0003,Bowmore,Bowmore,Operating,Islay,Malt,1779,Beam Suntory,Suntory Global Spirits,,,River Laggan,2,2,4,Traditional,,,,,Steam,2200000,Balanced peat,Yes,Yes,Yes,https://www.bowmore.com,,,5,,2,2026-07-01,,Official website | SWA,Verify equipment,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0004,Bruichladdich,Bruichladdich,Operating,Islay,Malt,1881,Bruichladdich Distillery Co.,Rémy Cointreau,,,Octomore Spring,4,4,8,Traditional,,,,,Steam,1500000,Unpeated / peated variants,Variable,Yes,Yes,https://www.bruichladdich.com,,,5,,2,2026-07-01,,Official website | SWA,Separate Port Charlotte and Octomore in brand table,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0005,Bunnahabhain,Bunnahabhain,Operating,Islay,Malt,1881,Distell,Heineken,,,Margadale Spring,2,2,4,Traditional,,,,,Steam,3000000,Mostly unpeated,Partial,Yes,Yes,https://www.bunnahabhain.com,,,4,,2,2026-07-01,,Official website | SWA,Verify technical details,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0006,Caol Ila,Caol Ila,Operating,Islay,Malt,1846,Diageo,Diageo,,,Loch nam Ban,3,3,6,Traditional,,,,,Steam,6500000,"Smoky, maritime",Yes,Yes,Yes,https://www.malts.com,,,5,,2,2026-07-01,,Official website | SWA,Verify visitor data,,SWRD_Islay_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-ISL-0007,Kilchoman,Kilchoman,Operating,Islay,Malt,2005,Kilchoman Distillery,Kilchoman Distillery,,,Allt Gleann Osamail,2,2,4,Traditional,,,,,Steam,500000,"Farm distillery, smoky",Yes,Yes,Yes,https://www.kilchomandistillery.com,,,5,,2,2026-07-01,,Official website | SWA,Verify mash tun & washbacks,Farm-to-bottle producer.,SWRD_Islay_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-ISL-0008,Lagavulin,Lagavulin,Operating,Islay,Malt,1816,Diageo,Diageo,,,Loch Sholum,2,2,4,Traditional,,,,,Steam,2400000,"Rich, smoky",Yes,Yes,Yes,https://www.malts.com,,,5,,2,2026-07-01,,Official website | SWA,Verify current capacity,,SWRD_Islay_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-ISL-0009,Laphroaig,Laphroaig,Operating,Islay,Malt,1815,Beam Suntory,Suntory Global Spirits,,,Kilbride Stream,3,4,7,Traditional,,,,,Steam,3300000,"Medicinal, smoky",Yes,Yes,Yes,https://www.laphroaig.com,,,5,,2,2026-07-01,,Official website | SWA,Verify still split,Friends of Laphroaig programme.,SWRD_Islay_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-ISL-0010,Port Ellen,Port Ellen,Operating,Islay,Malt,1825,Diageo,Diageo,,,Leorin Lochs,3,3,6,Traditional,,,,,Steam,,"Elegant, smoky",Yes,Yes,Yes,https://www.portellen.com,,,4,,2,2026-07-01,,Official website | SWA,Verify reopened production capacity,Reopened in 2024.,SWRD_Islay_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-ISL-0011,Portintruan,Portintruan,Operating,Islay,Malt,2024,Elixir Distillers,Elixir Distillers,,,,2,2,4,Traditional,,,,,Steam,,Heavily peated,Yes,Planned,Planned,https://elixirdistillers.com,,,3,,2,2026-07-01,,Official website | SWA,New distillery - monitor production ramp-up,,SWRD_Islay_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-ISL-0013,Kilchiaran,Kilchiaran,Under Construction,Islay,Malt,2025,Macalister Hall & Co.,Macalister Hall & Co.,,,,,,,,,,,,,,Variable,Planned,Planned,https://machdistillery.com,,,3,2,,2026-07-01,Official project | SWA,,Monitor commissioning,Project under development.,,SWRD_Islay_v0_1_Batch3.csv,Project/Planned,Research RC1
DIST-ISL-0014,Port Charlotte,Port Charlotte,Brand (linked),Islay,Malt,,Bruichladdich Distillery Co.,Rémy Cointreau,,,,,,,,,,,,,,Heavily peated,Yes,,,https://www.bruichladdich.com,,,5,,1,2026-07-01,,Official website,Move to Brand table in Gold release,Linked to Bruichladdich distillery.,SWRD_Islay_v0_1_Batch3.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0015,Octomore,Octomore,Brand (linked),Islay,Malt,,Bruichladdich Distillery Co.,Rémy Cointreau,,,,,,,,,,,,,,Super heavily peated,Yes,,,https://www.bruichladdich.com,,,5,,1,2026-07-01,,Official website,Move to Brand table in Gold release,Linked to Bruichladdich distillery.,SWRD_Islay_v0_1_Batch3.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0016,Bunnahabhain,Staoisha,Brand (linked),Islay,Malt,,Distell,Heineken,,,,,,,,,,,,,,Heavily peated,Yes,,,https://www.bunnahabhain.com,,,4,,1,2026-07-01,,Official website,Brand mapping,Peated production line.,SWRD_Islay_v0_1_Batch3.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0017,Ardbeg,Uigeadail,Brand (linked),Islay,Malt,,The Ardbeg Distillery Ltd.,LVMH,,,,,,,,,,,,,,Heavily peated,Yes,,,https://www.ardbeg.com,,,5,,1,2026-07-01,,Official website,Brand mapping,Core expression seed.,SWRD_Islay_v0_1_Batch3.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0018,Ardbeg,Corryvreckan,Brand (linked),Islay,Malt,,The Ardbeg Distillery Ltd.,LVMH,,,,,,,,,,,,,,Heavily peated,Yes,,,https://www.ardbeg.com,,,5,,1,2026-07-01,,Official website,Brand mapping,Core expression seed.,SWRD_Islay_v0_1_Batch3.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0019,Laggan Bay,Laggan Bay,Under Construction,Islay,Malt,2025,Laggan Bay Distillers,Laggan Bay Distillers,,,,,,,,,,,,,,Variable,Planned,Planned,,,,3,1,,2026-07-01,Track commissioning and first spirit,,,Planned project record.,,SWRD_Islay_v0_1_Batch4.csv,Project/Planned,Research RC1
DIST-ISL-0020,Ardbeg,Ardbeg Ten,Brand Seed,Islay,Malt,,The Ardbeg Distillery Ltd.,LVMH,,,,,,,,,,,,,,Heavily peated,Yes,,,https://www.ardbeg.com,,,5,,1,2026-07-01,,,Move to Brand table,Core expression.,SWRD_Islay_v0_1_Batch4.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0021,Laphroaig,Laphroaig 10,Brand Seed,Islay,Malt,,Beam Suntory,Suntory Global Spirits,,,,,,,,,,,,,,"Medicinal, smoky",Yes,,,https://www.laphroaig.com,,,5,,1,2026-07-01,,,Move to Brand table,Core expression.,SWRD_Islay_v0_1_Batch4.csv,Brand/Expression Seed,Research RC1
DIST-ISL-0022,Lagavulin,Lagavulin 16,Brand Seed,Islay,Malt,,Diageo,Diageo,,,,,,,,,,,,,,"Rich, smoky",Yes,,,https://www.malts.com,,,5,,1,2026-07-01,,,Move to Brand table,Core expression.,SWRD_Islay_v0_1_Batch4.csv,Brand/Expression Seed,Research RC1
