UniqueID,Distillery Name,Brand,Status,Region,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,Confidence,EvidenceStrength,SourceCount,LastVerified,QAStatus,SourceURLs,ResearchNeeded,Notes,SourceFile,EntityClass,ReleaseStatus
DIST-LWD-0001,Auchentoshan,Auchentoshan,Operating,Lowlands,Malt,1823,Beam Suntory,Suntory Global Spirits,,,Cochna Burn,3,3,6,Triple distilled,,,,,Steam,1800000,"Light, citrus",No,Yes,Yes,https://www.auchentoshan.com,,,5,,2,2026-07-01,,,Backfill technical details,Triple-distilled style.,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-LWD-0002,Bladnoch,Bladnoch,Operating,Lowlands,Malt,1817,Bladnoch Distillery,Bladnoch Distillery,,,River Bladnoch,2,2,4,Traditional,,,,,Steam,1500000,"Floral, grassy",No,Yes,Yes,https://www.bladnoch.com,,,5,,2,2026-07-01,,,Verify capacity,,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-LWD-0003,Daftmill,Daftmill,Operating,Lowlands,Malt,2005,Daftmill Distillery,Cuthbert Family,,,Farm spring,1,1,2,Traditional,,,,,Steam,100000,Farm distillery,No,Limited,Limited,https://www.daftmill.com,,,5,,2,2026-07-01,,,Backfill visitor policy,Seasonal production.,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-LWD-0004,Kingsbarns,Kingsbarns,Operating,Lowlands,Malt,2014,Kingsbarns Distillery,Wemyss Family Spirits,,,Aquifer,2,2,4,Traditional,,,,,Steam,500000,"Fruity, elegant",No,Yes,Yes,https://www.kingsbarnsdistillery.com,,,5,,2,2026-07-01,,,Verify washback count,,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-LWD-0005,Lindores Abbey,Lindores Abbey,Operating,Lowlands,Malt,2017,Lindores Abbey Distillery,Lindores Abbey Distillery,,,Well water,2,2,4,Traditional,,,,,Steam,500000,"Malty, orchard fruit",No,Yes,Yes,https://lindoresabbeydistillery.com,,,5,,2,2026-07-01,,,Moved from taxonomy review,Permanent Lowlands classification.,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-LWD-0006,Lochlea,Lochlea,Operating,Lowlands,Malt,2018,Lochlea Distillery,Lochlea Distillery,,,Estate water,1,1,2,Traditional,,,,,Steam,200000,"Cereal, fruit-forward",No,Yes,Yes,https://www.lochleadistillery.com,,,5,,2,2026-07-01,,,Moved from taxonomy review,Permanent Lowlands classification.,SWRD_Lowlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-GRN-0001,Cameronbridge,Cameronbridge,Operating,Lowlands,Grain,1824,Diageo,Diageo,,,River Leven,0,0,0,Continuous Coffey,,,,,Steam,140000000,Light grain,No,No,No,https://www.diageo.com,,,5,,2,2026-07-01,,,Backfill technical plant details,Scotland's largest grain distillery.,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-GRN-0002,Girvan,Girvan Patent Still,Operating,Lowlands,Grain,1963,William Grant & Sons,William Grant & Sons,,,Reservoir supply,0,0,0,Continuous,,,,,Steam,110000000,Clean grain,No,No,No,https://www.grants.com,,,5,,2,2026-07-01,,,Backfill plant configuration,Integrated grain complex.,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-GRN-0003,North British,North British,Operating,Lowlands,Grain,1885,North British Distillery Co.,Diageo & Edrington,,,Municipal supply,0,0,0,Continuous,,,,,Steam,70000000,Blended whisky grain,No,No,No,https://www.northbritish.co.uk,,,5,,2,2026-07-01,,,Verify ownership wording,Joint venture.,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-GRN-0004,Starlaw,Starlaw,Operating,Lowlands,Grain,2010,The Glen Turner Company,La Martiniquaise-Bardinet,,,Municipal supply,0,0,0,Continuous,,,,,Steam,25000000,Modern grain,No,No,No,https://www.la-martiniquaise.com,,,4,,2,2026-07-01,,,Backfill capacity,,SWRD_Grain_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
