UniqueID,Distillery Name,Status,Region,FunctionalRegion,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,EvidenceStrength,Confidence,LastVerified,ReleaseStatus,ResearchNeeded,Notes,SourceFile
DIST-ISL-0001,Ardbeg,Operating,Islay,Islay,Malt,1815,The Ardbeg Distillery Ltd.,LVMH,,,Loch Uigeadail,2,2,4,Traditional,,,,,Steam,2400000,Heavily peated,Yes,Yes,Yes,https://www.ardbeg.com,,,,5,2026-07-01,Research RC1,Verify coordinates,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0002,Ardnahoe,Operating,Islay,Islay,Malt,2018,Hunter Laing,Hunter Laing,,,Loch Ardnahoe,2,2,4,Traditional,,,,,Steam,500000,Heavily peated,Yes,Yes,Yes,https://ardnahoedistillery.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0003,Bowmore,Operating,Islay,Islay,Malt,1779,Beam Suntory,Suntory Global Spirits,,,River Laggan,2,2,4,Traditional,,,,,Steam,2200000,Balanced peat,Yes,Yes,Yes,https://www.bowmore.com,,,,5,2026-07-01,Research RC1,Verify equipment,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0004,Bruichladdich,Operating,Islay,Islay,Malt,1881,Bruichladdich Distillery Co.,Rémy Cointreau,,,Octomore Spring,4,4,8,Traditional,,,,,Steam,1500000,Unpeated / peated variants,Variable,Yes,Yes,https://www.bruichladdich.com,,,,5,2026-07-01,Research RC1,Separate Port Charlotte and Octomore in brand table,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0005,Bunnahabhain,Operating,Islay,Islay,Malt,1881,Distell,Heineken,,,Margadale Spring,2,2,4,Traditional,,,,,Steam,3000000,Mostly unpeated,Partial,Yes,Yes,https://www.bunnahabhain.com,,,,4,2026-07-01,Research RC1,Verify technical details,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0006,Caol Ila,Operating,Islay,Islay,Malt,1846,Diageo,Diageo,,,Loch nam Ban,3,3,6,Traditional,,,,,Steam,6500000,"Smoky, maritime",Yes,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify visitor data,,SWRD_Islay_v0_1_Batch1.csv
DIST-ISL-0013,Kilchiaran,Under Construction,Islay,Islay,Malt,2025,Macalister Hall & Co.,Macalister Hall & Co.,,,,,,,,,,,,,,Variable,Planned,Planned,https://machdistillery.com,,,3,,2,Official project | SWA,Research RC1,Project under development.,,SWRD_Islay_v0_1_Batch3.csv
DIST-ISL-0007,Kilchoman,Operating,Islay,Islay,Malt,2005,Kilchoman Distillery,Kilchoman Distillery,,,Allt Gleann Osamail,2,2,4,Traditional,,,,,Steam,500000,"Farm distillery, smoky",Yes,Yes,Yes,https://www.kilchomandistillery.com,,,,5,2026-07-01,Research RC1,Verify mash tun & washbacks,Farm-to-bottle producer.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0008,Lagavulin,Operating,Islay,Islay,Malt,1816,Diageo,Diageo,,,Loch Sholum,2,2,4,Traditional,,,,,Steam,2400000,"Rich, smoky",Yes,Yes,Yes,https://www.malts.com,,,,5,2026-07-01,Research RC1,Verify current capacity,,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0019,Laggan Bay,Under Construction,Islay,Islay,Malt,2025,Laggan Bay Distillers,Laggan Bay Distillers,,,,,,,,,,,,,,Variable,Planned,Planned,,,,3,,1,Track commissioning and first spirit,Research RC1,Planned project record.,,SWRD_Islay_v0_1_Batch4.csv
DIST-ISL-0009,Laphroaig,Operating,Islay,Islay,Malt,1815,Beam Suntory,Suntory Global Spirits,,,Kilbride Stream,3,4,7,Traditional,,,,,Steam,3300000,"Medicinal, smoky",Yes,Yes,Yes,https://www.laphroaig.com,,,,5,2026-07-01,Research RC1,Verify still split,Friends of Laphroaig programme.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0010,Port Ellen,Operating,Islay,Islay,Malt,1825,Diageo,Diageo,,,Leorin Lochs,3,3,6,Traditional,,,,,Steam,,"Elegant, smoky",Yes,Yes,Yes,https://www.portellen.com,,,,4,2026-07-01,Research RC1,Verify reopened production capacity,Reopened in 2024.,SWRD_Islay_v0_1_Batch2.csv
DIST-ISL-0011,Portintruan,Operating,Islay,Islay,Malt,2024,Elixir Distillers,Elixir Distillers,,,,2,2,4,Traditional,,,,,Steam,,Heavily peated,Yes,Planned,Planned,https://elixirdistillers.com,,,,3,2026-07-01,Research RC1,New distillery - monitor production ramp-up,,SWRD_Islay_v0_1_Batch2.csv
